Term,Language,English translation / meaning
goblok,Indonesian,stupid
anjing,Indonesian,Pejorative term for dog
asu,Indonesian,Pejorative term for dog
bangsat,Indonesian,son of a bitch
bajingan,Indonesian,bastard
babi,Indonesian,Pejorative term for pig
kampret,Indonesian,Pejorative term for bat
kontol,Indonesian,dick
sampah,Indonesian,rubbish
sialan,Indonesian,damn it
makan tai,Indonesian,eat shit
banci,Indonesian,a lady boy
maho,Indonesian,Pejorative term for gay man
manusia homo,Indonesian,"Variation of ""maho"" (Pejorative term for gay man)"
buaya darat,Indonesian,playboy
pelacur,Indonesian,whore
wanita murahan,Indonesian,slut
pantat,Indonesian,butt
monyet,Indonesian,monkey-faced (ugly)
kampang ,Indonesian,illegitimate child
ngentot,Indonesian,fuck
setan,Indonesian,devil
Bangke,Indonesian,Shit
jancuk,Indonesian,Bastard
Keparat,Indonesian,Scumbag
Tambuk,Indonesian,Woman genital
Lonte,Indonesian,slut
Tolol,Indonesian,Fool
Tempik,Indonesian,Woman genital
Peler,Indonesian,Male Genital
Kirik,Indonesian,Pejorative term for dog
Bedebah,Indonesian,Scumbag
Anjrot,Indonesian,Pejorative term for dog
Buyan,Indonesian,Crazy 
Gondes,Indonesian,rube
Kampungan,Indonesian,rube
sundal,Indonesian,whore
dungu,Indonesian,stupid
idiot,Indonesian,very stupid
memek,Indonesian,Pejorative term for vagina
jembut,Indonesian,Pejorative term for pubic hair
titit,Indonesian,Pejorative term for penis
kunyuk,Indonesian,Pejorative term for monkey
perek,Indonesian,whore
pecun,Indonesian,whore
jablay,Indonesian,whore
bencong,Indonesian,pejorative term of shemale
sinting,Indonesian,crazy
udik,Indonesian,"corny, tacky, cheesy"
brengsek,Indonesian,asshole
gembel,Indonesian,Pejorative term for poor
sedeng,Indonesian,crazy
autis,Indonesian,Pejorative term for autism
biji,Indonesian,Pejorative term for balls
cacat,Indonesian,Pejorative term for disability
norak,Indonesian,"corny, tacky, cheesy"
burik,Indonesian,very ugly
picek,Indonesian,Pejorative term for blind
mampus,Indonesian,just die
pecundang,Indonesian,loser
ngehe,Indonesian,crazy
Cibai,Indonesian,Woman genital
Puki,Indonesian,Woman genital
Meki,Indonesian,Woman genital
bajigur,Indonesian,bastard
gonggong,Indonesian,stupid
pukimak,Indonesian,Woman genital
bolot,Indonesian,slow thinker
budek,Indonesian,deaf
bego,Indonesian,stupid
pepek,Indonesian,Woman genital
tua bangka,Indonesian,old fart
kehed,Indonesian,Man genital
gelo,Indonesian,crazy
jurig,Indonesian,Pejorative term for ghost
boloho,Indonesian,stupid
bagong,Indonesian,Pejorative term for pig
pakak,Indonesian,deaf
ubilih,Indonesian,Pejorative term for demon
landeh,Indonesian,Pejorative term for pig
anak haram,Indonesian,son of a bitch
jancok,Indonesian,fuck
geblek,Indonesian,very stupid
sarap,Indonesian,crazy
bejat,Indonesian,bad attitude
belegug,Indonesian,stupid
bacot,Indonesian,shut up
celeng,Indonesian,pig
cangkem,Indonesian,shut up
silit,Indonesian,ass
diamput,Indonesian,pejorative term for sex
ngateli,Indonesian,pejorative term for sex
imbesil,Indonesian,idiot
bodat,Indonesian,monkey
ngepet,Indonesian,bastard
Baruak,Indonesian,Pejorative term for monkey
kimbek,Indonesian,shit
kimak,Indonesian,woman genital
bengak,Indonesian,stupid
getek ,indonesian,coquettish 
congok,indonesian,greedy
bongol,indonesian,stupid/fool
nganga,indonesian,stupid/fool
bangang,indonesian,deaf
lengob,indonesian,stupid/fool
oto,indonesian,stupid/fool
beleng,indonesian,stupid/fool
paneki,indonesian,Pejorative term for bat
ibo,indonesian,Pejorative term for monkey
cicing,indonesian,Pejorative term for dog
